bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),JK Rowling and Mary GrandPr,4.57,439785960.0,9780000000000.0,eng,652.0,2095690,27591,2006-09-16,Scholastic Inc.
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),JK Rowling and Mary GrandPr,4.49,439358078.0,9780000000000.0,eng,870.0,2153167,29221,2004-09-01,Scholastic Inc.
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),JK Rowling,4.42,439554896.0,9780000000000.0,eng,352.0,6333,244,2003-11-01,Scholastic
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),JK Rowling and Mary GrandPr,4.78,439682584.0,9780000000000.0,eng,2690.0,41428,164,2004-09-13,Scholastic
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W Frederick Zimmerman,3.74,976540606.0,9780000000000.0,en-US,152.0,19,1,2005-04-26,Nimble Books
10,Harry Potter Collection (Harry Potter  #1-6),JK Rowling,4.73,439827604.0,9780000000000.0,eng,3342.0,28242,808,2005-09-12,Scholastic
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952.0,9780000000000.0,eng,815.0,3628,254,2005-11-01,Gramercy Books
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743.0,9780000000000.0,eng,815.0,249558,4080,2002-04-30,Del Rey Books
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920.0,9780000000000.0,eng,215.0,4930,460,2004-08-03,Crown
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams and Stephen Fry,4.22,739322206.0,9780000000000.0,eng,6.0,1266,253,2005-03-23,Random House Audio
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257.0,9780000000000.0,eng,815.0,2877,195,1996-01-17,Wings Books
